freq_hz,spl_db
10917.3989,49.540
10996.5108,48.716
11076.1961,47.901
11156.4588,47.120
11237.3031,46.427
11318.7332,46.064
11400.7534,45.717
11483.3680,45.429
11566.5812,45.053
11650.3974,44.376
11734.8210,43.821
11819.8563,43.671
11905.5079,43.514
11991.7801,43.339
12078.6775,43.315
12166.2046,43.759
12254.3659,44.148
12343.1661,44.377
12432.6098,44.613
12522.7016,44.869
12613.4462,45.000
12704.8485,44.789
12796.9130,44.808
12889.6447,45.444
12983.0484,46.158
13077.1289,47.074
13171.8912,48.224
13267.3402,49.959
13363.4808,51.075
13460.3181,50.699
13557.8571,50.267
13656.1029,49.706
13755.0606,49.347
13854.7355,49.443
13955.1326,49.557
14056.2573,49.709
14158.1147,49.750
14260.7102,49.554
14364.0492,49.431
14468.1370,49.455
14572.9791,49.152
14678.5809,48.199
14784.9480,47.178
14892.0858,46.025
15000.0000,44.956
15108.6962,44.044
15218.1800,43.333
15328.4572,42.984
15439.5335,42.611
15551.4148,42.195
15664.1067,41.680
15777.6153,40.995
15891.9464,40.653
16007.1060,40.884
16123.1001,41.374
16239.9347,42.283
16357.6160,42.968
16476.1500,43.299
16595.5430,43.998
16715.8011,45.256
16836.9307,46.792
16958.9381,48.741
17081.8295,50.508
17205.6115,52.013
17330.2905,52.206
17455.8729,50.562
17582.3653,48.659
17709.7744,46.402
17838.1067,44.444
17967.3690,42.884
18097.5680,41.231
18228.7104,39.459
18360.8031,37.923
18493.8531,36.683
18627.8672,35.385
18762.8524,34.018
18898.8157,33.198
19035.7644,33.025
19173.7054,32.643
19312.6459,32.020
19452.5933,31.964
19593.5548,32.544
19735.5378,33.330
19878.5496,34.341
20022.5978,34.732
20167.6898,34.464
20313.8332,34.006
20461.0356,33.350
20609.3047,32.586
20758.6482,31.713
20909.0740,31.530
21060.5897,32.024
21213.2034,33.101
21366.9231,34.735
21521.7566,35.806
21677.7121,36.357
21834.7977,35.857
21993.0217,34.410
22152.3922,32.448
22312.9176,30.035
22474.6062,26.965
22637.4664,23.336
22801.5068,20.539
22966.7359,18.432
23133.1624,17.023
23300.7948,16.177
23469.6420,15.691
23639.7127,15.488
